Brand,Model,Range (km),Efficiency (Wh/km),Battery (kWh)
Smart,#1 Pure,250 km,188 Wh/km,"47,0 kWh"
Citroen,e-C4 X,295 km,157 Wh/km,"46,3 kWh"
Mercedes-Benz,EQV 300 Extra-Long,310 km,290 Wh/km,"90,0 kWh"
Lotus,Emeya S,520 km,190 Wh/km,"98,9 kWh"
Audi,Q4 Sportback e-tron 35,300 km,173 Wh/km,"52,0 kWh"
Citroen,e-Jumpy Combi M 75 kWh,265 km,257 Wh/km,"68,0 kWh"
Volkswagen,ID.5 Pro Performance,430 km,179 Wh/km,"77,0 kWh"
Smart,#1 Pulse,325 km,191 Wh/km,"62,0 kWh"
Kia,e-Niro 39 kWh,235 km,167 Wh/km,"39,2 kWh"
Seres,3,255 km,196 Wh/km,"50,0 kWh"
Mercedes-Benz,EQE 350 4MATIC,505 km,179 Wh/km,"90,6 kWh"
Fiat,500e Cabrio 24 kWh,135 km,158 Wh/km,"21,3 kWh"
Peugeot,e-Rifter M 50 kWh,235 km,213 Wh/km,"50,0 kWh"
Mercedes-Benz,EQS SUV 450 4MATIC,490 km,221 Wh/km,"108,4 kWh"
Toyota,PROACE Verso M 50 kWh,180 km,257 Wh/km,"46,3 kWh"
Volvo,XC40 Recharge Twin Pure Electric,335 km,224 Wh/km,"75,0 kWh"
Volvo,XC40 Recharge Twin Pure Electric,350 km,214 Wh/km,"75,0 kWh"
Mercedes-Benz,EQS 450 4MATIC,610 km,178 Wh/km,"108,4 kWh"
Audi,SQ8 e-tron Sportback,480 km,221 Wh/km,"106,0 kWh"
Toyota,Proace City Verso Electric L1 50 kWh,210 km,220 Wh/km,"46,3 kWh"
Mercedes-Benz,eVito Tourer Long 90 kWh,320 km,281 Wh/km,"90,0 kWh"
Tesla,Model X Standard Range,355 km,204 Wh/km,"72,5 kWh"
Tesla,Model X Performance,440 km,216 Wh/km,"95,0 kWh"
Volkswagen,ID.4 Pro 4MOTION,405 km,190 Wh/km,"77,0 kWh"
ORA,Funky Cat 48 kWh,260 km,175 Wh/km,"45,4 kWh"
Volkswagen,ID.5 Pro,430 km,179 Wh/km,"77,0 kWh"
Opel,Combo-e Life 50 kWh,235 km,213 Wh/km,"50,0 kWh"
Smart,ForFour Electric Drive,95 km,176 Wh/km,"16,7 kWh"
Peugeot,Partner Tepee Electric,100 km,205 Wh/km,"20,5 kWh"
Smart,EQ forfour,95 km,176 Wh/km,"16,7 kWh"
Ford,Mustang Mach-E SR AWD,350 km,207 Wh/km,"72,6 kWh"
Ford,Mustang Mach-E SR AWD,350 km,207 Wh/km,"72,6 kWh"
NIO,ET5 Touring Standard Range,400 km,184 Wh/km,"73,5 kWh"
NIO,EL8 Standard Range,365 km,201 Wh/km,"73,5 kWh"
Citroen,e-SpaceTourer XL 50 kWh,180 km,257 Wh/km,"46,3 kWh"
Smart,EQ fortwo coupe,100 km,167 Wh/km,"16,7 kWh"
Audi,e-tron S,320 km,270 Wh/km,"86,5 kWh"
Porsche,Taycan Sport Turismo,460 km,179 Wh/km,"82,3 kWh"
Skoda,Enyaq 50,310 km,168 Wh/km,"52,0 kWh"
Hyundai,Kona Electric 39 kWh,245 km,160 Wh/km,"39,2 kWh"
Genesis,GV60 Sport,380 km,195 Wh/km,"74,0 kWh"
Ford,Mustang Mach-E SR RWD,375 km,187 Wh/km,"70,0 kWh"
Toyota,PROACE Verso M 75 kWh,260 km,262 Wh/km,"68,0 kWh"
Porsche,Taycan 4,490 km,168 Wh/km,"82,3 kWh"
Nissan,Townstar EV Passenger L2,220 km,205 Wh/km,"45,0 kWh"
Citroen,C-Zero,85 km,171 Wh/km,"14,5 kWh"
Tesla,Model S P90D,405 km,211 Wh/km,"85,5 kWh"
ORA,Funky Cat GT,330 km,180 Wh/km,"59,3 kWh"
NIO,EL6 Standard Range,365 km,201 Wh/km,"73,5 kWh"
Citroen,E-Berlingo Multispace,100 km,205 Wh/km,"20,5 kWh"
Ford,Mustang Mach-E ER RWD,480 km,190 Wh/km,"91,0 kWh"
Porsche,Taycan Turbo S Sport Turismo,505 km,192 Wh/km,"97,0 kWh"
Skywell,BE11 Standard Range,330 km,206 Wh/km,"68,0 kWh"
Sono,Sion,260 km,181 Wh/km,"47,0 kWh"
Fisker,Ocean Sport,350 km,203 Wh/km,"71,0 kWh"
Porsche,Taycan 4S Plus,480 km,174 Wh/km,"83,7 kWh"
Mercedes-Benz,EQE AMG 43 4MATIC,450 km,201 Wh/km,"90,6 kWh"
Audi,Q4 e-tron 45 quattro,385 km,199 Wh/km,"76,6 kWh"
Renault,Kangoo Grand E-Tech Electric,220 km,205 Wh/km,"45,0 kWh"
Mercedes-Benz,EQS SUV 450+,500 km,217 Wh/km,"108,4 kWh"
NIO,EL7 Standard Range,355 km,207 Wh/km,"73,5 kWh"
Abarth,500e Convertible,225 km,168 Wh/km,"37,8 kWh"
Porsche,Taycan Turbo,445 km,188 Wh/km,"83,7 kWh"
Mercedes-Benz,EQV 300 Extra-Long,315 km,286 Wh/km,"90,0 kWh"
Tesla,Model S P90DL,405 km,211 Wh/km,"85,5 kWh"
BMW,i3s 94 Ah,160 km,170 Wh/km,"27,2 kWh"
Volvo,C40 Recharge Twin Pure Electric,360 km,208 Wh/km,"75,0 kWh"
Peugeot,e-Rifter Long 50 kWh,200 km,232 Wh/km,"46,3 kWh"
Citroen,e-SpaceTourer M 75 kWh,260 km,262 Wh/km,"68,0 kWh"
Ford,Mustang Mach-E GT,425 km,214 Wh/km,"91,0 kWh"
Jeep,Avenger Electric 1st Edition,310 km,164 Wh/km,"50,8 kWh"
Peugeot,e-Expert Combi Standard 50 kWh,185 km,250 Wh/km,"46,3 kWh"
GWM,ORA 07 Pro,350 km,184 Wh/km,"64,3 kWh"
Kia,e-Soul 39 kWh,230 km,170 Wh/km,"39,2 kWh"
Porsche,Taycan,420 km,169 Wh/km,"71,0 kWh"
BMW,i5 xDrive40 Touring,440 km,185 Wh/km,"81,2 kWh"
Volkswagen,ID.5 GTX,405 km,190 Wh/km,"77,0 kWh"
Mercedes-Benz,EQT 200 Long,220 km,205 Wh/km,"45,0 kWh"
Citroen,e-Berlingo XL 50 kWh,205 km,226 Wh/km,"46,3 kWh"
Volkswagen,ID.5 Pro,430 km,179 Wh/km,"77,0 kWh"
Audi,e-tron Sportback 50 quattro,295 km,219 Wh/km,"64,7 kWh"
Ford,Mustang Mach-E SR AWD,345 km,203 Wh/km,"70,0 kWh"
Tesla,Model S 70D,355 km,194 Wh/km,"69,0 kWh"
Toyota,PROACE Verso M 75 kWh,265 km,257 Wh/km,"68,0 kWh"
Porsche,Taycan Plus Sport Turismo,445 km,188 Wh/km,"83,7 kWh"
Porsche,Taycan Plus,485 km,173 Wh/km,"83,7 kWh"
Abarth,600e Turismo,280 km,181 Wh/km,"50,8 kWh"
Audi,e-tron S Sportback,335 km,258 Wh/km,"86,5 kWh"
Peugeot,e-Rifter Standard 50 kWh,205 km,226 Wh/km,"46,3 kWh"
Mercedes-Benz,EQA 250+,420 km,168 Wh/km,"70,5 kWh"
Fiat,E-Ulysse L2 75 kWh,265 km,257 Wh/km,"68,0 kWh"
Ford,Mustang Mach-E GT,410 km,215 Wh/km,"88,0 kWh"
Mercedes-Benz,EQS 500 4MATIC,590 km,183 Wh/km,"107,8 kWh"
Ford,Mustang Mach-E GT,425 km,214 Wh/km,"91,0 kWh"
Mercedes-Benz,EQE SUV 350+,450 km,201 Wh/km,"90,6 kWh"
Porsche,Taycan Turbo S,430 km,195 Wh/km,"83,7 kWh"
VinFast,VF 8 Plus Extended Range,400 km,219 Wh/km,"87,7 kWh"
Porsche,Taycan 4S Cross Turismo,440 km,190 Wh/km,"83,7 kWh"
Mercedes-Benz,EQS AMG 53 4MATIC+,535 km,203 Wh/km,"108,4 kWh"
Porsche,Taycan Turbo Cross Turismo,495 km,196 Wh/km,"97,0 kWh"
Audi,Q4 Sportback e-tron 35,295 km,176 Wh/km,"52,0 kWh"
Mercedes-Benz,EQE 500 4MATIC,505 km,179 Wh/km,"90,6 kWh"
Peugeot,e-Traveller Long 75 kWh,260 km,262 Wh/km,"68,0 kWh"
Opel,Vivaro-e Combi M 50 kWh,185 km,250 Wh/km,"46,3 kWh"
Mercedes-Benz,EQS SUV 500 4MATIC,490 km,221 Wh/km,"108,4 kWh"
Porsche,Taycan Turbo Cross Turismo,395 km,212 Wh/km,"83,7 kWh"
Mini,Cooper SE Convertible,165 km,175 Wh/km,"28,9 kWh"
Porsche,Taycan Turbo S Cross Turismo,485 km,200 Wh/km,"97,0 kWh"
Porsche,Taycan GTS Sport Turismo,505 km,192 Wh/km,"97,0 kWh"
Tesla,Model X 60D,285 km,218 Wh/km,"62,0 kWh"
Citroen,e-SpaceTourer M 50 kWh,185 km,250 Wh/km,"46,3 kWh"
Mercedes-Benz,eVito Tourer Extra-Long 90 kWh,305 km,295 Wh/km,"90,0 kWh"
Mercedes-Benz,eVito Tourer Long 60 kWh,210 km,286 Wh/km,"60,0 kWh"
Mercedes-Benz,EQE 350,510 km,175 Wh/km,"89,0 kWh"
Opel,Combo-e Life XL 50 kWh,230 km,217 Wh/km,"50,0 kWh"
Lucid,Air Pure AWD,560 km,164 Wh/km,"92,0 kWh"
Opel,Vivaro-e Combi L 75 kWh,260 km,262 Wh/km,"68,0 kWh"
Porsche,Taycan Turbo Sport Turismo,505 km,192 Wh/km,"97,0 kWh"
Peugeot,e-Traveller L2 50 kWh,180 km,257 Wh/km,"46,3 kWh"
Opel,Vivaro-e Combi L 50 kWh,180 km,257 Wh/km,"46,3 kWh"
Ford,Mustang Mach-E ER RWD,480 km,190 Wh/km,"91,0 kWh"
Opel,Zafira-e Life L2 75 kWh,260 km,262 Wh/km,"68,0 kWh"
Citroen,e-Berlingo XL 50 kWh,230 km,217 Wh/km,"50,0 kWh"
Peugeot,e-Rifter XL 50 kWh,230 km,217 Wh/km,"50,0 kWh"
Smart,EQ fortwo cabrio,95 km,176 Wh/km,"16,7 kWh"
Tesla,Model X Ludicrous Performance,440 km,216 Wh/km,"95,0 kWh"
Citroen,e-Jumpy Combi M 50 kWh,185 km,250 Wh/km,"46,3 kWh"
Mercedes-Benz,EQE AMG 53 4MATIC+,450 km,201 Wh/km,"90,6 kWh"
Renault,Zoe R90 Entry,140 km,166 Wh/km,"23,3 kWh"
Porsche,Taycan GTS Sport Turismo,425 km,197 Wh/km,"83,7 kWh"
Smart,ForTwo Cabrio Electric Drive,95 km,176 Wh/km,"16,7 kWh"
Peugeot,e-Traveller Standard 75 kWh,265 km,257 Wh/km,"68,0 kWh"
Porsche,Taycan 4S Plus Sport Turismo,510 km,190 Wh/km,"97,0 kWh"
Toyota,PROACE Verso L 50 kWh,180 km,257 Wh/km,"46,3 kWh"
Mercedes-Benz,EQE AMG 53 4MATIC+,455 km,199 Wh/km,"90,6 kWh"
Porsche,Taycan Turbo Cross Turismo,425 km,197 Wh/km,"83,7 kWh"
Peugeot,e-Traveller L2 75 kWh,260 km,262 Wh/km,"68,0 kWh"
Citroen,e-SpaceTourer M 75 kWh,265 km,257 Wh/km,"68,0 kWh"
Mercedes-Benz,eVito Tourer Extra-Long 41 kWh,120 km,292 Wh/km,"35,0 kWh"
Abarth,500e Scorpionissima,225 km,168 Wh/km,"37,8 kWh"
Porsche,Taycan 4S Sport Turismo,440 km,187 Wh/km,"82,3 kWh"
Mercedes-Benz,EQV 250 Extra-Long,210 km,286 Wh/km,"60,0 kWh"
Porsche,Taycan Turbo S Cross Turismo,380 km,220 Wh/km,"83,7 kWh"
Citroen,e-SpaceTourer XL 75 kWh,260 km,262 Wh/km,"68,0 kWh"
Opel,Zafira-e Life L3 50 kWh,180 km,257 Wh/km,"46,3 kWh"
Skoda,Enyaq iV RS,420 km,183 Wh/km,"77,0 kWh"
Citroen,e-SpaceTourer XL 50 kWh,180 km,257 Wh/km,"46,3 kWh"
Opel,Combo-e Life XL 50 kWh,200 km,232 Wh/km,"46,3 kWh"
Opel,Vivaro-e Combi S 50 kWh,185 km,250 Wh/km,"46,3 kWh"
Citroen,e-SpaceTourer XL 75 kWh,260 km,262 Wh/km,"68,0 kWh"
Porsche,Taycan 4S,415 km,171 Wh/km,"71,0 kWh"
Opel,Zafira-e Life M 75 kWh,265 km,257 Wh/km,"68,0 kWh"
Citroen,e-Jumpy Combi XL 75 kWh,260 km,262 Wh/km,"68,0 kWh"
Kia,e-Soul 39.2 kWh,230 km,170 Wh/km,"39,2 kWh"
Ford,Mustang Mach-E SR AWD,345 km,203 Wh/km,"70,0 kWh"
ORA,Funky Cat 63 kWh,340 km,174 Wh/km,"59,3 kWh"
Tesla,Model X P90DL,375 km,228 Wh/km,"85,5 kWh"
Kia,e-Niro 39 kWh,235 km,167 Wh/km,"39,2 kWh"
Skoda,Enyaq Coupe iV 60,345 km,168 Wh/km,"58,0 kWh"
Skoda,Enyaq Coupe iV 80x,435 km,177 Wh/km,"77,0 kWh"
Opel,Zafira-e Life L 50 kWh,180 km,257 Wh/km,"46,3 kWh"
Peugeot,e-Traveller Standard 50 kWh,185 km,250 Wh/km,"46,3 kWh"
Porsche,Taycan 4S Sport Turismo,370 km,192 Wh/km,"71,0 kWh"
Skoda,Enyaq Coupe 60,345 km,168 Wh/km,"58,0 kWh"
Mercedes-Benz,eVito Tourer Long 60 kWh,220 km,273 Wh/km,"60,0 kWh"
Ford,Mustang Mach-E SR RWD,375 km,187 Wh/km,"70,0 kWh"
Fiat,E-Ulysse L3 75 kWh,260 km,262 Wh/km,"68,0 kWh"
Toyota,Proace City Verso Electric L2 50 kWh,205 km,226 Wh/km,"46,3 kWh"
Opel,Zafira-e Life L2 50 kWh,180 km,257 Wh/km,"46,3 kWh"
Porsche,Taycan Turbo Sport Turismo,405 km,207 Wh/km,"83,7 kWh"
Audi,Q4 Sportback e-tron 45 quattro,400 km,192 Wh/km,"76,6 kWh"
Citroen,e-SpaceTourer M 50 kWh,180 km,257 Wh/km,"46,3 kWh"
Opel,Zafira-e Life M 50 kWh,185 km,250 Wh/km,"46,3 kWh"
Mercedes-Benz,eVito Tourer Extra-Long 60 kWh,205 km,293 Wh/km,"60,0 kWh"
Mercedes-Benz,EQV 250 Long,215 km,279 Wh/km,"60,0 kWh"
Mercedes-Benz,EQV 250 Extra-Long,205 km,293 Wh/km,"60,0 kWh"
Peugeot,e-Expert Combi Long 50 kWh,185 km,250 Wh/km,"46,3 kWh"
Kia,e-Soul 39 kWh,230 km,170 Wh/km,"39,2 kWh"
Citroen,e-SpaceTourer XS 50 kWh,185 km,250 Wh/km,"46,3 kWh"
Mercedes-Benz,EQV 250 Long,205 km,293 Wh/km,"60,0 kWh"
Toyota,PROACE Shuttle M 75 kWh,265 km,257 Wh/km,"68,0 kWh"
Kia,e-Niro 39 kWh,235 km,167 Wh/km,"39,2 kWh"
Toyota,PROACE Shuttle M 50 kWh,185 km,250 Wh/km,"46,3 kWh"
Mercedes-Benz,eVito Tourer Extra-Long 60 kWh,215 km,279 Wh/km,"60,0 kWh"
Peugeot,e-Traveller L3 50 kWh,180 km,257 Wh/km,"46,3 kWh"
Toyota,PROACE Shuttle L 75 kWh,260 km,262 Wh/km,"68,0 kWh"
Mercedes-Benz,EQE SUV 300,440 km,202 Wh/km,"89,0 kWh"
Opel,Zafira-e Life S 50 kWh,185 km,250 Wh/km,"46,3 kWh"
Peugeot,e-Traveller Compact 50 kWh,185 km,250 Wh/km,"46,3 kWh"
Citroen,e-Jumpy Combi XS 50 kWh,185 km,250 Wh/km,"46,3 kWh"
Tesla,Model S P90DL,405 km,211 Wh/km,"85,5 kWh"
Toyota,PROACE Verso M 50 kWh,185 km,250 Wh/km,"46,3 kWh"
Toyota,PROACE Shuttle L 50 kWh,180 km,257 Wh/km,"46,3 kWh"
Porsche,Taycan Turbo S Sport Turismo,395 km,212 Wh/km,"83,7 kWh"
Peugeot,e-Traveller Long 50 kWh,185 km,250 Wh/km,"46,3 kWh"
Citroen,e-Jumpy Combi XL 50 kWh,180 km,257 Wh/km,"46,3 kWh"
Peugeot,e-Expert Combi Compact 50 kWh,185 km,250 Wh/km,"46,3 kWh"
Porsche,Taycan 4S Plus Sport Turismo,430 km,195 Wh/km,"83,7 kWh"
Fiat,E-Ulysse L3 50 kWh,180 km,257 Wh/km,"46,3 kWh"
Porsche,Taycan Turbo S Cross Turismo,410 km,204 Wh/km,"83,7 kWh"
Tesla,Model X Performance,420 km,226 Wh/km,"95,0 kWh"
Fiat,E-Ulysse L2 50 kWh,185 km,250 Wh/km,"46,3 kWh"
